modelfileversion,model,layer,skew,temperature,resistance (ohms)
4x1r1,rrgv1_30000x6000xs0_p,gv1,pcff,100,0.000225987
4x1r1,rrgv1_30000x6000xs0_s,gv1,pcff,100,0.000225987
4x1r1,rrgv1_6000x10000xs0,gv1,pcff,100,0.000679225
4x1r1,rrgv1_6000x10000xs0_p,gv1,pcff,100,0.000679225
4x1r1,rrgv1_6000x10000xs0_s,gv1,pcff,100,0.000679225
4x1r1,rrgv1_6000x18000xs0,gv1,pcff,100,0.000377487
4x1r1,rrgv1_6000x18000xs0_p,gv1,pcff,100,0.000377487
4x1r1,rrgv1_6000x18000xs0_s,gv1,pcff,100,0.000377487
4x1r1,rrgv1_6000x30000xs0,gv1,pcff,100,0.000225987
4x1r1,rrgv1_6000x30000xs0_p,gv1,pcff,100,0.000225987
4x1r1,rrgv1_6000x30000xs0_s,gv1,pcff,100,0.000225987
4x1r1,rrgv1_10000x6000xs0,gv1,pcff,125,0.0007263
4x1r1,rrgv1_10000x6000xs0_p,gv1,pcff,125,0.0007263
4x1r1,rrgv1_10000x6000xs0_s,gv1,pcff,125,0.0007263
4x1r1,rrgv1_18000x6000xs0,gv1,pcff,125,0.00040365
4x1r1,rrgv1_18000x6000xs0_p,gv1,pcff,125,0.00040365
4x1r1,rrgv1_18000x6000xs0_s,gv1,pcff,125,0.00040365
4x1r1,rrgv1_30000x6000xs0,gv1,pcff,125,0.00024165
4x1r1,rrgv1_30000x6000xs0_p,gv1,pcff,125,0.00024165
4x1r1,rrgv1_30000x6000xs0_s,gv1,pcff,125,0.00024165
4x1r1,rrgv1_6000x10000xs0,gv1,pcff,125,0.0007263
4x1r1,rrgv1_6000x10000xs0_p,gv1,pcff,125,0.0007263
4x1r1,rrgv1_6000x10000xs0_s,gv1,pcff,125,0.0007263
4x1r1,rrgv1_6000x18000xs0,gv1,pcff,125,0.00040365
4x1r1,rrgv1_6000x18000xs0_p,gv1,pcff,125,0.00040365
4x1r1,rrgv1_6000x18000xs0_s,gv1,pcff,125,0.00040365
4x1r1,rrgv1_6000x30000xs0,gv1,pcff,125,0.00024165
