modelfileversion,model,layer,skew,temperature,width (um),resistance (ohms/um)
4x1r1,rrgcnfm1,gcn,pcff,-40,0.038,48.667
4x1r1,rrgcnfm1,gcn,pcff,25,0.038,52.9434
4x1r1,rrgcnfm1,gcn,pcff,100,0.038,57.8777
4x1r1,rrgcnfm1,gcn,pcff,125,0.038,59.5224
4x1r1,rrgm0gmzgmb,gm0,pcff,-40,0.54,0.0156814
4x1r1,rrgm0gmzgmb,gm0,pcff,25,0.54,0.0205591
4x1r1,rrgm0gmzgmb,gm0,pcff,100,0.54,0.0261871
4x1r1,rrgm0gmzgmb,gm0,pcff,125,0.54,0.0280631
4x1r1,rrgmbgm0c4,gmb,pcff,-40,1,0.00522033
4x1r1,rrgmbgm0c4,gmb,pcff,25,1,0.00693271
4x1r1,rrgmbgm0c4,gmb,pcff,100,1,0.00890853
4x1r1,rrgmbgm0c4,gmb,pcff,125,1,0.00956714
4x1r1,rrgmzm8gm0,gmz,pcff,-40,0.54,0.0156814
4x1r1,rrgmzm8gm0,gmz,pcff,25,0.54,0.0205591
4x1r1,rrgmzm8gm0,gmz,pcff,100,0.54,0.0261871
4x1r1,rrgmzm8gm0,gmz,pcff,125,0.54,0.0280631
4x1r1,rrm1fm2,m1,pcff,-40,0.044,13.8778
4x1r1,rrm1fm2,m1,pcff,25,0.044,16.0716
4x1r1,rrm1fm2,m1,pcff,100,0.044,18.6028
4x1r1,rrm1fm2,m1,pcff,125,0.044,19.4466
4x1r1,rrm2m1m3,m2,pcff,-40,0.044,14.3047
4x1r1,rrm2m1m3,m2,pcff,25,0.044,16.5659
4x1r1,rrm2m1m3,m2,pcff,100,0.044,19.1751
4x1r1,rrm2m1m3,m2,pcff,125,0.044,20.0448
4x1r1,rrm3m2m4,m3,pcff,-40,0.044,14.3047
4x1r1,rrm3m2m4,m3,pcff,25,0.044,16.5659
4x1r1,rrm3m2m4,m3,pcff,100,0.044,19.1751
4x1r1,rrm3m2m4,m3,pcff,125,0.044,20.0448
4x1r1,rrm4m3m5,m4,pcff,-40,0.044,14.3047
4x1r1,rrm4m3m5,m4,pcff,25,0.044,16.5659
4x1r1,rrm4m3m5,m4,pcff,100,0.044,19.1751
4x1r1,rrm4m3m5,m4,pcff,125,0.044,20.0448
4x1r1,rrm5m4m6,m5,pcff,-40,0.044,14.3047
4x1r1,rrm5m4m6,m5,pcff,25,0.044,16.5659
4x1r1,rrm5m4m6,m5,pcff,100,0.044,19.1751
4x1r1,rrm5m4m6,m5,pcff,125,0.044,20.0448
4x1r1,rrm6m5m7,m6,pcff,-40,0.044,14.3047
4x1r1,rrm6m5m7,m6,pcff,25,0.044,16.5659
4x1r1,rrm6m5m7,m6,pcff,100,0.044,19.1751
4x1r1,rrm6m5m7,m6,pcff,125,0.044,20.0448
4x1r1,rrm7m6m8,m7,pcff,-40,0.18,0.415856
4x1r1,rrm7m6m8,m7,pcff,25,0.18,0.506771
4x1r1,rrm7m6m8,m7,pcff,100,0.18,0.611673
4x1r1,rrm7m6m8,m7,pcff,125,0.18,0.64664
4x1r1,rrm8m7c4,m8,pcff,-40,0.18,0.415856
4x1r1,rrm8m7c4,m8,pcff,25,0.18,0.506771
4x1r1,rrm8m7c4,m8,pcff,100,0.18,0.611673
4x1r1,rrm8m7c4,m8,pcff,125,0.18,0.64664
4x1r1,rrpfm1,p,pcff,-40,0.04,742.448
4x1r1,rrpfm1,p,pcff,25,0.04,750.497
4x1r1,rrpfm1,p,pcff,100,0.04,759.785
4x1r1,rrpfm1,p,pcff,125,0.04,762.881
4x1r1,rrtcnfm1,tcn,pcff,-40,0.038,26.4038
4x1r1,rrtcnfm1,tcn,pcff,25,0.038,28.7
4x1r1,rrtcnfm1,tcn,pcff,100,0.038,31.3494
4x1r1,rrtcnfm1,tcn,pcff,125,0.038,32.2326
4x1r1,rrgcnfm1,gcn,pcss,-40,0.038,245.096
4x1r1,rrgcnfm1,gcn,pcss,25,0.038,266.633
4x1r1,rrgcnfm1,gcn,pcss,100,0.038,291.483
4x1r1,rrgcnfm1,gcn,pcss,125,0.038,299.766
4x1r1,rrgm0gmzgmb,gm0,pcss,-40,0.54,0.0104022
4x1r1,rrgm0gmzgmb,gm0,pcss,25,0.54,0.0136378
4x1r1,rrgm0gmzgmb,gm0,pcss,100,0.54,0.0173711
4x1r1,rrgm0gmzgmb,gm0,pcss,125,0.54,0.0186156
4x1r1,rrgmbgm0c4,gmb,pcss,-40,1,0.00347645
4x1r1,rrgmbgm0c4,gmb,pcss,25,1,0.0046168
4x1r1,rrgmbgm0c4,gmb,pcss,100,1,0.00593258
4x1r1,rrgmbgm0c4,gmb,pcss,125,1,0.00637118
4x1r1,rrgmzm8gm0,gmz,pcss,-40,0.54,0.0104022
4x1r1,rrgmzm8gm0,gmz,pcss,25,0.54,0.0136378
4x1r1,rrgmzm8gm0,gmz,pcss,100,0.54,0.0173711
4x1r1,rrgmzm8gm0,gmz,pcss,125,0.54,0.0186156
4x1r1,rrm1fm2,m1,pcss,-40,0.044,10.4207
4x1r1,rrm1fm2,m1,pcss,25,0.044,12.068
4x1r1,rrm1fm2,m1,pcss,100,0.044,13.9687
4x1r1,rrm1fm2,m1,pcss,125,0.044,14.6022
4x1r1,rrm2m1m3,m2,pcss,-40,0.044,10.6545
4x1r1,rrm2m1m3,m2,pcss,25,0.044,12.3387
4x1r1,rrm2m1m3,m2,pcss,100,0.044,14.282
4x1r1,rrm2m1m3,m2,pcss,125,0.044,14.9298
4x1r1,rrm3m2m4,m3,pcss,-40,0.044,10.6545
4x1r1,rrm3m2m4,m3,pcss,25,0.044,12.3387
4x1r1,rrm3m2m4,m3,pcss,100,0.044,14.282
4x1r1,rrm3m2m4,m3,pcss,125,0.044,14.9298
4x1r1,rrm4m3m5,m4,pcss,-40,0.044,10.6545
4x1r1,rrm4m3m5,m4,pcss,25,0.044,12.3387
4x1r1,rrm4m3m5,m4,pcss,100,0.044,14.282
4x1r1,rrm4m3m5,m4,pcss,125,0.044,14.9298
4x1r1,rrm5m4m6,m5,pcss,-40,0.044,10.6545
4x1r1,rrm5m4m6,m5,pcss,25,0.044,12.3387
4x1r1,rrm5m4m6,m5,pcss,100,0.044,14.282
4x1r1,rrm5m4m6,m5,pcss,125,0.044,14.9298
4x1r1,rrm6m5m7,m6,pcss,-40,0.044,10.6545
4x1r1,rrm6m5m7,m6,pcss,25,0.044,12.3387
4x1r1,rrm6m5m7,m6,pcss,100,0.044,14.282
4x1r1,rrm6m5m7,m6,pcss,125,0.044,14.9298
4x1r1,rrm7m6m8,m7,pcss,-40,0.18,0.267944
4x1r1,rrm7m6m8,m7,pcss,25,0.18,0.326522
4x1r1,rrm7m6m8,m7,pcss,100,0.18,0.394113
4x1r1,rrm7m6m8,m7,pcss,125,0.18,0.416643
4x1r1,rrm8m7c4,m8,pcss,-40,0.18,0.267944
4x1r1,rrm8m7c4,m8,pcss,25,0.18,0.326522
4x1r1,rrm8m7c4,m8,pcss,100,0.18,0.394113
4x1r1,rrm8m7c4,m8,pcss,125,0.18,0.416643
4x1r1,rrpfm1,p,pcss,-40,0.04,2969.78
4x1r1,rrpfm1,p,pcss,25,0.04,3001.98
4x1r1,rrpfm1,p,pcss,100,0.04,3039.13
4x1r1,rrpfm1,p,pcss,125,0.04,3051.51
4x1r1,rrtcnfm1,tcn,pcss,-40,0.038,105.615
4x1r1,rrtcnfm1,tcn,pcss,25,0.038,114.8
4x1r1,rrtcnfm1,tcn,pcss,100,0.038,125.398
4x1r1,rrtcnfm1,tcn,pcss,125,0.038,128.93
4x1r1,rrgcnfm1,gcn,prcf,-40,0.038,48.667
4x1r1,rrgcnfm1,gcn,prcf,25,0.038,52.9434
4x1r1,rrgcnfm1,gcn,prcf,100,0.038,57.8777
4x1r1,rrgcnfm1,gcn,prcf,125,0.038,59.5224
4x1r1,rrgm0gmzgmb,gm0,prcf,-40,0.54,0.0104022
4x1r1,rrgm0gmzgmb,gm0,prcf,25,0.54,0.0136378
4x1r1,rrgm0gmzgmb,gm0,prcf,100,0.54,0.0173711
4x1r1,rrgm0gmzgmb,gm0,prcf,125,0.54,0.0186156
4x1r1,rrgmbgm0c4,gmb,prcf,-40,1,0.00347645
4x1r1,rrgmbgm0c4,gmb,prcf,25,1,0.0046168
4x1r1,rrgmbgm0c4,gmb,prcf,100,1,0.00593258
4x1r1,rrgmbgm0c4,gmb,prcf,125,1,0.00637118
4x1r1,rrgmzm8gm0,gmz,prcf,-40,0.54,0.0104022
4x1r1,rrgmzm8gm0,gmz,prcf,25,0.54,0.0136378
4x1r1,rrgmzm8gm0,gmz,prcf,100,0.54,0.0173711
4x1r1,rrgmzm8gm0,gmz,prcf,125,0.54,0.0186156
4x1r1,rrm1fm2,m1,prcf,-40,0.044,10.4207
4x1r1,rrm1fm2,m1,prcf,25,0.044,12.068
4x1r1,rrm1fm2,m1,prcf,100,0.044,13.9687
4x1r1,rrm1fm2,m1,prcf,125,0.044,14.6022
4x1r1,rrm2m1m3,m2,prcf,-40,0.044,10.6545
4x1r1,rrm2m1m3,m2,prcf,25,0.044,12.3387
4x1r1,rrm2m1m3,m2,prcf,100,0.044,14.282
4x1r1,rrm2m1m3,m2,prcf,125,0.044,14.9298
4x1r1,rrm3m2m4,m3,prcf,-40,0.044,10.6545
4x1r1,rrm3m2m4,m3,prcf,25,0.044,12.3387
4x1r1,rrm3m2m4,m3,prcf,100,0.044,14.282
4x1r1,rrm3m2m4,m3,prcf,125,0.044,14.9298
4x1r1,rrm4m3m5,m4,prcf,-40,0.044,10.6545
4x1r1,rrm4m3m5,m4,prcf,25,0.044,12.3387
4x1r1,rrm4m3m5,m4,prcf,100,0.044,14.282
4x1r1,rrm4m3m5,m4,prcf,125,0.044,14.9298
4x1r1,rrm5m4m6,m5,prcf,-40,0.044,10.6545
4x1r1,rrm5m4m6,m5,prcf,25,0.044,12.3387
4x1r1,rrm5m4m6,m5,prcf,100,0.044,14.282
4x1r1,rrm5m4m6,m5,prcf,125,0.044,14.9298
4x1r1,rrm6m5m7,m6,prcf,-40,0.044,10.6545
4x1r1,rrm6m5m7,m6,prcf,25,0.044,12.3387
4x1r1,rrm6m5m7,m6,prcf,100,0.044,14.282
4x1r1,rrm6m5m7,m6,prcf,125,0.044,14.9298
4x1r1,rrm7m6m8,m7,prcf,-40,0.18,0.267944
4x1r1,rrm7m6m8,m7,prcf,25,0.18,0.326522
4x1r1,rrm7m6m8,m7,prcf,100,0.18,0.394113
4x1r1,rrm7m6m8,m7,prcf,125,0.18,0.416643
4x1r1,rrm8m7c4,m8,prcf,-40,0.18,0.267944
